Id;ProductId;UserId;ProfileName;HelpfulnessNumerator;HelpfulnessDenominator;Score;Time;Summary;Text,,,,,,,,,,,
1;B001E4KFG0;A3SGXH7AUHU8GW;delmartian;1;1;5;1303862400;Good Quality Dog Food;I have bought several of the Vitality canned dog food products and have found them all to be of good quality. The product looks more like a stew than a processed meat and it smells better. My Labrador is finicky and she appreciates this product better than  most.,,,,,,,,,,,
"2;B00813GRG4;A1D87F6ZCVE5NK;dll pa;0;0;1;1346976000;Not as Advertised;""Product arrived labeled as Jumbo Salted Peanuts...the peanuts were actually small sized unsalted. Not sure if this was an error or if the vendor intended to represent the product as """"Jumbo"""".""",,,,,,,,,,,
"3;B000LQOCH0;ABXLMWJIXXAIN;""Natalia Corres """"Natalia Corres"""""";1;1;4;1219017600;""""""Delight"""" says it all"";""This is a confection that has been around a few centuries.  It is a light", pillowy citrus gelatin with nuts - in this case Filberts. And it is cut into tiny squares and then liberally coated with powdered sugar.  And it is a tiny mouthful of heaven.  Not too chewy," and very flavorful.  I highly recommend this yummy treat.  If you are familiar with the story of C.S. Lewis' """"The Lion", The Witch," and The Wardrobe"""" - this is the treat that seduces Edmund into selling out his Brother and Sisters to the Witch.""",,,,,,,
4;B000UA0QIQ;A395BORC6FGVXV;Karl;3;3;2;1307923200;Cough Medicine;If you are looking for the secret ingredient in Robitussin I believe I have found it.  I got this in addition to the Root Beer Extract I ordered (which was good) and made some cherry soda.  The flavor is very medicinal.,,,,,,,,,,,
"5;B006K2ZZ7K;A1UQRSCLF8GW1T;""Michael D. Bigham """"M. Wassir"""""";0;0;5;1350777600;Great taffy;Great taffy at a great price.  There was a wide assortment of yummy taffy.  Delivery was very quick.  If your a taffy lover", this is a deal.,,,,,,,,,,
6;B006K2ZZ7K;ADT0SRK1MGOEU;Twoapennything;0;0;4;1342051200;Nice Taffy;I got a wild hair for taffy and ordered this five pound bag. The taffy was all very enjoyable with many flavors: watermelon, root beer, melon, peppermint, grape, etc. My only complaint is there was a bit too much red/black licorice-flavored pieces (just not my particular favorites). Between me, my kids, and my husband, this lasted only two weeks! I would recommend this brand of taffy -- it was a delightful treat.,,,
7;B006K2ZZ7K;A1SP2KVKFXXRU1;David C. Sullivan;0;0;5;1340150400;Great!  Just as good as the expensive brands!;This saltwater taffy had great flavors and was very soft and chewy.  Each candy was individually wrapped well.  None of the candies were stuck together, which did happen in the expensive version, Fralinger's.  Would highly recommend this candy!  I served it at a beach-themed party and everyone loved it!,,,,,,,,,
8;B006K2ZZ7K;A3JRGQVEQN31IQ;Pamela G. Williams;0;0;5;1336003200;Wonderful, tasty taffy;This taffy is so good.  It is very soft and chewy.  The flavors are amazing.  I would definitely recommend you buying it.  Very satisfying!!,,,,,,,,,,
9;B000E7L2R4;A1MZYO9TZK0BBI;R. James;1;1;5;1322006400;Yay Barley;Right now I'm mostly just sprouting this so my cats can eat the grass. They love it. I rotate it around with Wheatgrass and Rye too,,,,,,,,,,,
10;B00171APVA;A21BT40VZCCYT4;Carol A. Reed;0;0;5;1351209600;Healthy Dog Food;This is a very healthy dog food. Good for their digestion. Also good for small puppies. My dog eats her required amount at every feeding.,,,,,,,,,,,
11;B0001PB9FE;A3HDKO7OW0QNK4;Canadian Fan;1;1;5;1107820800;The Best Hot Sauce in the World;I don't know if it's the cactus or the tequila or just the unique combination of ingredients, but the flavour of this hot sauce makes it one of a kind!  We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away!  When we realized that we simply couldn't find it anywhere in our city we were bummed.<br /><br />Now, because of the magic of the internet, we have a case of the sauce and are ecstatic because of it.<br /><br />If you love hot sauce..I mean really love hot sauce, but don't want a sauce that tastelessly burns your throat, grab a bottle of Tequila Picante Gourmet de Inclan.  Just realize that once you taste it, you will never want to use any other sauce.<br /><br />Thank you for the personal, incredible service!,,,,
"12;B0009XLVG0;A2725IB4YY9JEB;""A Poeng """"SparkyGoHome"""""";4;4;5;1282867200;""My cats LOVE this """"diet"""" food better than their regular food"";One of my boys needed to lose some weight and the other didn't.  I put this food on the floor for the chubby guy", and the protein-rich, no by-product food up higher where only my skinny boy can jump.  The higher food sits going stale.  They both really go for this food.  And my chubby boy has been losing about an ounce a week.,,,,,,,,,
13;B0009XLVG0;A327PCT23YH90;LT;1;1;1;1339545600;My Cats Are Not Fans of the New Food;My cats have been happily eating Felidae Platinum for more than two years. I just got a new bag and the shape of the food is different. They tried the new food when I first put it in their bowls and now the bowls sit full and the kitties will not touch the food. I've noticed similar reviews related to formula changes in the past. Unfortunately, I now need to find a new food that my cats will eat.,,,,,,,,,,
"14;B001GVISJM;A18ECVX2RJ7HUE;""willie """"roadie"""""";2;2;4;1288915200;fresh and greasy!;good flavor! these came securely packed... they were fresh and delicious! i love these Twizzlers!",,,,,,,,,,,
"15;B001GVISJM;A2MUGFV2TDQ47K;""Lynrie """"Oh HELL no"""""";4;5;5;1268352000;Strawberry Twizzlers - Yummy;The Strawberry Twizzlers are my guilty pleasure - yummy. Six pounds will be around for a while with my son and I.",,,,,,,,,,,
16;B001GVISJM;A1CZX3CP8IKQIJ;Brian A. Lee;4;5;5;1262044800;Lots of twizzlers, just what you expect.;My daughter loves twizzlers and this shipment of six pounds really hit the spot. It's exactly what you would expect...six packages of strawberry twizzlers.,,,,,,,,,,
17;B001GVISJM;A3KLWF6WQ5BNYO;Erica Neathery;0;0;2;1348099200;poor taste;I love eating them and they are good for watching TV and looking at movies! It is not too sweet. I like to transfer them to a zip lock baggie so they stay fresh so I can take my time eating them.,,,,,,,,,,,
18;B001GVISJM;AFKW14U97Z6QO;Becca;0;0;5;1345075200;Love it!;I am very satisfied with my Twizzler purchase.  I shared these with others and we have all enjoyed them.  I will definitely be ordering more.,,,,,,,,,,,
19;B001GVISJM;A2A9X58G2GTBLP;Wolfee1;0;0;5;1324598400;GREAT SWEET CANDY!;Twizzlers, Strawberry my childhood favorite candy, made in Lancaster Pennsylvania by Y & S Candies, Inc. one of the oldest confectionery Firms in the United States, now a Subsidiary of the Hershey Company, the Company was established in 1845 as Young and Smylie, they also make Apple Licorice Twists, Green Color and Blue Raspberry Licorice Twists, I like them all<br /><br />I keep it in a dry cool place because is not recommended it to put it in the fridge. According to the Guinness Book of Records, the longest Licorice Twist ever made measured 1.200 Feet (370 M) and weighted 100 Pounds (45 Kg) and was made by Y & S Candies, Inc. This Record-Breaking Twist became a Guinness World Record on July 19, 1998. This Product is Kosher! Thank You
20;B001GVISJM;A3IV7CL2C13K2U;Greg;0;0;5;1318032000;Home delivered twizlers;Candy was delivered very fast and was purchased at a reasonable price.  I was home bound and unable to get to a store so this was perfect for me.,,,,,,,,,,,
21;B001GVISJM;A1WO0KGLPR5PV6;mom2emma;0;0;5;1313452800;Always fresh;My husband is a Twizzlers addict.  We've bought these many times from Amazon because we're government employees living overseas and can't get them in the country we are assigned to.  They've always been fresh and tasty, packed well and arrive in a timely manner.,,,,,,,,,,
"22;B001GVISJM;AZOF9E17RGZH8;Tammy Anderson;0;0;5;1308960000;TWIZZLERS;""I bought these for my husband who is currently overseas. He loves these", and apparently his staff likes them also.<br />There are generous amounts of Twizzlers in each 16-ounce bag," and this was well worth the price. <a href=""""http://www.amazon.com/gp/product/B001GVISJM"""">Twizzlers", Strawberry," 16-Ounce Bags (Pack of 6)</a>""",,,,,,,
23;B001GVISJM;ARYVQL4N737A1;Charles Brown;0;0;5;1304899200;Delicious product!;I can remember buying this candy as a kid and the quality hasn't dropped in all these years. Still a superb product you won't be disappointed with.,,,,,,,,,,,
24;B001GVISJM;AJ613OLZZUG7V;Mare's;0;0;5;1304467200;Twizzlers;I love this candy.  After weight watchers I had to cut back but still have a craving for it.,,,,,,,,,,,
"25;B001GVISJM;A22P2J09NJ9HKE;""S. Cabanaugh """"jilly pepper"""""";0;0;5;1295481600;Please sell these in Mexico!!;I have lived out of the US for over 7 yrs now", and I so miss my Twizzlers!!  When I go back to visit or someone visits me, I always stock up.  All I can say is YUM!<br />Sell these in Mexico and you will have a faithful buyer, more often than I'm able to buy them right now.,,,,,,,,
"26;B001GVISJM;A3FONPR03H3PJS;""Deborah S. Linzer """"Cat Lady"""""";0;0;5;1288310400;Twizzlers - Strawberry;""Product received is as advertised.<br /><br /><a href=""""http://www.amazon.com/gp/product/B001GVISJM"""">Twizzlers", Strawberry," 16-Ounce Bags (Pack of 6)</a>""",,,,,,,,,
27;B001GVISJM;A3RXAU2N8KV45G;lady21;0;1;1;1332633600;Nasty No flavor;The candy is just red , No flavor . Just  plan and chewy .  I would never buy them again,,,,,,,,,,
28;B001GVISJM;AAAS38B98HMIK;Heather Dube;0;1;4;1331856000;Great Bargain for the Price;I was so glad Amazon carried these batteries.  I have a hard time finding them elsewhere because they are such a unique size.  I need them for my garage door opener.<br />Great deal for the price.,,,,,,,,,,,
29;B00144C10S;A2F4LZVGFLD1OB;DaisyH;0;0;5;1338854400;YUMMY!;I got this for my Mum who is not diabetic but needs to watch her sugar intake, and my father who simply chooses to limit unnecessary sugar intake - she's the one with the sweet tooth - they both LOVED these toffees, you would never guess that they're sugar-free and it's so great that you can eat them pretty much guilt free!  i was so impressed that i've ordered some for myself (w dark chocolate) to take to the office so i'll eat them instead of snacking on sugary sweets.<br />These are just EXCELLENT!,,,,,,,,,
30;B0001PB9FY;A3HDKO7OW0QNK4;Canadian Fan;1;1;5;1107820800;The Best Hot Sauce in the World;I don't know if it's the cactus or the tequila or just the unique combination of ingredients, but the flavour of this hot sauce makes it one of a kind!  We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away!  When we realized that we simply couldn't find it anywhere in our city we were bummed.<br /><br />Now, because of the magic of the internet, we have a case of the sauce and are ecstatic because of it.<br /><br />If you love hot sauce..I mean really love hot sauce, but don't want a sauce that tastelessly burns your throat, grab a bottle of Tequila Picante Gourmet de Inclan.  Just realize that once you taste it, you will never want to use any other sauce.<br /><br />Thank you for the personal, incredible service!,,,,
